id,name,type,price,price_change,price_radio
000063.SZ,中兴通讯,"计算机、通信和其他电子设备制造业,2025规划,5G概念,6G概念,AH股,HS300_,IPv6,MSCI中国,云计算,人工智能,充电桩,国产芯片,在线教育,富时罗素,屏下摄像,工业互联,数据中心,新能源车,无线充电,无线耳机,智慧城市,智能穿戴,标准普尔,深圳特区,深成500,深证100R,物联网,网络安全,证金持股,超清视频,边缘计算,锂电池",34,0.07,0.2063
000065.SZ,北方国际,"土木工程建筑业,一带一路,国企改革,太阳能,富时罗素,新能源,机构重仓,标准普尔,水利建设,贬值受益,转债标的,风能",8.67,0.06,0.6969
000066.SZ,中国长城,"计算机、通信和其他电子设备制造业,2025规划,5G概念,HS300_,中字头,云计算,互联医疗,人工智能,充电桩,军工,军民融合,分拆预期,北斗导航,区块链,华为概念,参股券商,国产芯片,国企改革,大数据,富时罗素,数据中心,标准普尔,海工装备,深圳特区,深成500,网络安全,融资融券,车联网,量子通信,钠离子电池,锂电池",13.31,-0.11,-0.8197
000068.SZ,华控赛格,"计算机、通信和其他电子设备制造业,PPP模式,创投,壳资源,海绵城市,深圳特区,石墨烯,节能环保,锂电池",3.31,0.11,3.4375
000069.SZ,华侨城A,"房地产业,HS300_,MSCI中国,国企改革,在线旅游,婴童概念,富时罗素,机构重仓,标准普尔,深圳特区,深成500,深证100R,电商概念,证金持股",6.79,0.14,2.1053
000070.SZ,特发信息,"电气机械和器材制造业,5G概念,云计算,军工,华为概念,国产芯片,国资云概念,大数据,字节概念,富时罗素,数据中心,智慧城市,标准普尔,深圳特区,特高压,融资融券,转债标的",7.21,-0.24,-3.2215
000078.SZ,海王生物,"零售业,中药,中证500,健康中国,内贸流通,冷链物流,医疗器械,口罩,富时罗素,标准普尔,深圳特区,深成500,病毒防治",3.3,-0.02,-0.6024
000088.SZ,盐田港,"道路运输业,一带一路,富时罗素,标准普尔,深圳特区,深股通,粤港自贸",5.52,-0.2,-3.4965
000089.SZ,深圳机场,"航空运输业,MSCI中国,QFII重仓,中证500,创投,富时罗素,标准普尔,深圳特区,深成500,粤港自贸,预盈预增",7.65,0.12,1.5936
000090.SZ,天健集团,"土木工程建筑业,中证500,国企改革,富时罗素,标准普尔,深圳特区,租售同权,粤港自贸,融资融券",5.65,-0.05,-0.8772
000096.SZ,广聚能源,"批发业,内贸流通,深圳特区,粤港自贸",9.32,-0.01,-0.1072
000099.SZ,中信海直,"航空运输业,军工,华为概念,无人机,深圳特区,粤港自贸,航母概念,证金持股,通用航空,风能",7.86,0.11,1.4194
000100.SZ,TCL科技,"计算机、通信和其他电子设备制造业,HS300_,MSCI中国,MicroLED,MiniLED,OLED,半导体,华为概念,参股银行,商汤概念,太阳能,富时罗素,小米概念,屏下摄像,工业互联,标准普尔,深成500,深证100R,虚拟现实,证金持股,超级品牌,转债标的",6.67,-0.21,-3.0523
000150.SZ,宜华健康,"卫生,互联医疗,健康中国,养老概念,医疗器械,医疗美容,标准普尔,融资融券",2.91,-0.12,-3.9604
000151.SZ,中成股份,"批发业,一带一路,内贸流通,国企改革,核能核电,贬值受益",8.35,-0.08,-0.949
000153.SZ,丰原药业,"医药制造业,中药,代糖概念,参股银行,地塞米松,机构重仓,肝素概念",11.84,0.77,6.9557
000155.SZ,川能动力,"电力、热力生产和供应业,太阳能,成渝特区,新能源,昨日涨停,深股通,节能环保,融资融券,锂电池,风能",37.33,3.39,9.9882
000156.SZ,华数传媒,"广播、电视、电影和影视录音制作业,中证500,华为概念,大数据,富时罗素,广电,影视概念,智慧城市,智能电视,机构重仓,标准普尔,深成500,物联网,独角兽,蚂蚁概念,超清视频,长江三角,阿里概念",7.82,-0.14,-1.7588
000157.SZ,中联重科,"专用设备制造业,AH股,HS300_,MSCI中国,一带一路,乡村振兴,人工智能,参股银行,富时罗素,工业互联,工程机械,标准普尔,深成500,深证100R,节能环保,证金持股",8.7,-0.1,-1.1364
000158.SZ,常山北明,"软件和信息技术服务业,NFT概念,一带一路,中证500,京津冀,创投,区块链,华为昇腾,华为概念,参股银行,国产软件,国资云概念,大数据,富时罗素,工业互联,数据中心,智慧城市,标准普尔,深成500,网络安全,融资融券,雄安新区,鸿蒙概念",7.47,-0.39,-4.9618
000159.SZ,国际实业,"批发业,一带一路,内贸流通,壳资源,融资融券",7.35,-0.38,-4.9159
000166.SZ,申万宏源,"资本市场服务,AH股,HS300_,MSCI中国,互联金融,券商概念,参股期货,富时罗素,标准普尔,深成500,深证100R,融资融券,证金持股",5.96,-0.11,-1.8122
000301.SZ,东方盛虹,"化学纤维制造业,MSCI中国,创投,参股银行,太阳能,富时罗素,标准普尔,深成500,融资融券,转债标的,长江三角",35.5,-0.4,-1.1142
000333.SZ,美的集团,"电气机械和器材制造业,HS300_,MSCI中国,QFII重仓,分拆预期,医疗器械,参股银行,国产芯片,央视50_,工业4.0,工业互联,新能源车,智能家居,智能机器,机构重仓,标准普尔,深成500,深证100R,物联网,股权激励,茅指数,证金持股,超级品牌,鸿蒙概念",68.26,2.31,3.5027
000338.SZ,潍柴动力,"汽车制造业,AH股,HS300_,MSCI中国,一带一路,分拆预期,富时罗素,新能源车,无人驾驶,标准普尔,氢能源,深成500,深证100R,燃料电池,节能环保,证金持股,车联网",18.25,0.35,1.9553
000400.SZ,许继电气,"电气机械和器材制造业,2025规划,一带一路,中证500,储能,充电桩,军工,国企改革,太阳能,富时罗素,抽水蓄能,换电概念,无线充电,智能电网,标准普尔,深成500,特高压",21.17,1.16,5.7971
000401.SZ,冀东水泥,"非金属矿物制品业,中证500,京津冀,债转股,富时罗素,标准普尔,水利建设,深成500,证金持股,转债标的,雄安新区",13.88,0.16,1.1662
000402.SZ,金融街,"房地产业,MSCI中国,中证500,富时罗素,标准普尔,深成500,碳交易,证金持股",6.11,-0.12,-1.9262
000403.SZ,派林生物,"医药制造业,MSCI中国,富时罗素,机构重仓,深成500,深股通,股权激励,融资融券",26.26,0.53,2.0599
000404.SZ,长虹华意,"通用设备制造业,地热能,智能家居,疫苗冷链,病毒防治,节能环保,融资融券,贬值受益,锂电池",4.11,0.02,0.489
000407.SZ,胜利股份,"燃气生产和供应业,天然气,油气设服",5.02,-0.04,-0.7905
000408.SZ,藏格控股,"化学原料和化学制品制造业,小金属,盐湖提锂,社保重仓,锂电池,预盈预增",31.1,0.5,1.634
000409.SZ,云鼎科技,"软件和信息技术服务业,北斗导航,参股新三板,工业互联,煤化工,预盈预增",5.16,-0.06,-1.1494
000410.SZ,ST沈机,"通用设备制造业,东北振兴,人工智能,债转股,国企改革,工业4.0,工业互联,工业母机,智能机器,机构重仓",5.18,-0.13,-2.4482
000411.SZ,英特集团,"批发业,内贸流通,冷链物流,医疗器械,国企改革,疫苗冷链,转债标的,长江三角",12.15,0.05,0.4132
000413.SZ,东旭光电,"计算机、通信和其他电子设备制造业,3D玻璃,AB股,OLED,华为概念,口罩,富时罗素,新能源车,智能机器,标准普尔,燃料电池,石墨烯,蓝宝石,锂电池,雄安新区",2.5,0.04,1.626
000415.SZ,渤海租赁,"租赁业,中证500,参股保险,富时罗素,标准普尔,深成500,滨海新区",2.73,-0.08,-2.847
000416.SZ,民生控股,"其他金融业,参股保险,参股期货,参股银行,国家安防,壳资源,智慧城市",3.77,-0.06,-1.5666
000417.SZ,合肥百货,"零售业,内贸流通,冷链物流,参股银行,地摊经济,新零售,证金持股",4.49,0,0
000419.SZ,通程控股,"零售业,内贸流通,参股银行,新零售,电商概念",4.41,-0.05,-1.1211
000420.SZ,吉林化纤,"化学纤维制造业,东北振兴,机构重仓",5.31,0,0
000421.SZ,南京公用,"燃气生产和供应业,充电桩,天然气,长江三角",5.14,0.02,0.3906
000422.SZ,湖北宜化,"化学原料和化学制品制造业,化工原料,湖北自贸,煤化工,磷化工,降解塑料,预盈预增",24.15,-0.69,-2.7778
000423.SZ,东阿阿胶,"医药制造业,MSCI中国,QFII重仓,中药,健康中国,创投,央视50_,富时罗素,机构重仓,标准普尔,深成500,电商概念,证金持股,超级品牌",32.57,-0.46,-1.3927
000425.SZ,徐工机械,"专用设备制造业,HS300_,MSCI中国,一带一路,军工,富时罗素,工业4.0,工业互联,工程机械,标准普尔,深成500,深证100R,证金持股",6.82,-0.02,-0.2924
000426.SZ,兴业矿业,"有色金属矿采选业,富时罗素,小金属,标准普尔,深股通",8.79,-0.52,-5.5854
000428.SZ,华天酒店,"住宿业,养老概念,内贸流通,参股保险,国企改革,股权转让",3.54,-0.07,-1.9391
000429.SZ,粤高速A,"道路运输业,AB股,参股券商,国企改革,机构重仓,标准普尔,深股通,粤港自贸",7.46,0.04,0.5391
000430.SZ,张家界,"公共设施管理业,参股期货",5.95,0.04,0.6768
000488.SZ,晨鸣纸业,"造纸和纸制品业,AB股,AH股,EDA概念,中证500,区块链,参股银行,国企改革,富时罗素,机构重仓,标准普尔,深成500,碳交易,股权激励,融资融券",8.15,-0.16,-1.9254
000498.SZ,山东路桥,"土木工程建筑业,PPP模式,债转股,富时罗素,智慧城市,标准普尔,深股通,装配建筑,铁路基建",7.13,0.01,0.1405
000501.SZ,鄂武商A,"零售业,中证500,免税概念,内贸流通,参股券商,地摊经济,富时罗素,新零售,标准普尔,湖北自贸,电商概念,社区团购,阿里概念",11.03,-0.19,-1.6934
000502.SZ,*ST绿景,"房地产业,ST股,互联医疗,数据中心,预亏预减",5.94,-0.14,-2.3026
000503.SZ,国新健康,"互联网和相关服务,互联医疗,健康中国,华为概念,标准普尔,电商概念",7,0.12,1.7442
000504.SZ,南华生物,"科技推广和应用服务业,免疫治疗,创投,机构重仓,节能环保",22.93,0.45,2.0018
000505.SZ,京粮控股,"农副食品加工业,AB股,京津冀,参股券商,机构重仓,生态农业,网红直播,融资融券",7.1,-0.1,-1.3889
000506.SZ,中润资源,"有色金属矿采选业,黄金概念",3.69,-0.17,-4.4041
000507.SZ,珠海港,"水上运输业,一带一路,北交所概念,天然气,新能源,油气设服,粤港自贸,风能",7.22,-0.09,-1.2312
000509.SZ,*ST华塑,"橡胶和塑料制品业,ST股,互联金融,壳资源,成渝特区,机构重仓",3.76,0.01,0.2667
000510.SZ,新金路,"化学原料和化学制品制造业,成渝特区,机构重仓",7.55,0.11,1.4785
000513.SZ,丽珠集团,"医药制造业,AH股,QFII重仓,中药,中证500,单抗概念,基因测序,富时罗素,标准普尔,流感,深成500,生物疫苗,精准医疗,辅助生殖",39.53,0.53,1.359
000514.SZ,渝开发,"房地产业,一带一路,债转股,成渝特区,预亏预减",3.24,-0.02,-0.6135
000516.SZ,国际医学,"卫生,MSCI中国,互联医疗,免疫治疗,医疗美容,基因测序,基金重仓,昨日涨停,标准普尔,毛发医疗,深成500,深股通,辅助生殖,阿里概念",11.03,1,9.9701
000517.SZ,荣安地产,"房地产业,富时罗素,标准普尔,融资融券,长江三角",2.51,-0.04,-1.5686
000518.SZ,四环生物,"医药制造业,人造肉,病毒防治,超级真菌,长江三角",3.36,-0.05,-1.4663
000519.SZ,中兵红箭,"专用设备制造业,中证500,军工,军民融合,冷链物流,国企改革,富时罗素,新材料,机构重仓,疫苗冷链,融资融券",21.69,-0.81,-3.6
000520.SZ,长航凤凰,"水上运输业,债转股,机构重仓",4.21,0.08,1.937
000521.SZ,长虹美菱,"电气机械和器材制造业,AB股,冷链物流,医疗器械,工业互联,新材料,新能源,智能家居,机构重仓,物联网,电商概念,疫苗冷链",3.5,-0.03,-0.8499
000523.SZ,*ST浪奇,"化学原料和化学制品制造业,ST股,化妆品概念,国企改革,土地流转,工业大麻,消毒剂,粤港自贸",4.17,-0.05,-1.1848
000524.SZ,岭南控股,"商务服务业,免税概念,参股新三板,国企改革,在线旅游,机构重仓,电商概念,粤港自贸",7.13,0.23,3.3333
000525.SZ,ST红太阳,"化学原料和化学制品制造业,ST股,昨日涨停,标准普尔,维生素,草甘膦,蝗虫防治,长寿药,长江三角,预盈预增",5.96,0.28,4.9296
000526.SZ,学大教育,"教育,在线教育,纾困概念",21.95,1.53,7.4927
000528.SZ,柳工,"专用设备制造业,一带一路,中证500,富时罗素,工程机械,机构重仓,标准普尔,深成500",8.25,-0.22,-2.5974
000529.SZ,广弘控股,"农副食品加工业,体育产业,冷链物流,在线教育,猪肉概念,粤港自贸,鸡肉概念",5.75,-0.11,-1.8771
000530.SZ,冰山冷热,"通用设备制造业,AB股,IPO受益,冷链物流,北京冬奥,参股券商,大数据,物联网,碳交易,边缘计算",3.97,0.02,0.5063
000531.SZ,穗恒运A,"电力、热力生产和供应业,太阳能,氢能源,燃料电池,碳交易,股权转让,融资融券",8.3,0.14,1.7157
000532.SZ,华金资本,"综合,创投,参股券商,口罩,国企改革,机构重仓,独角兽,被动元件,锂电池",13.33,-0.51,-3.685
000533.SZ,顺钠股份,"电气机械和器材制造业,参股保险,壳资源,太阳能,新能源,水利建设",3.36,-0.04,-1.1765
000534.SZ,万泽股份,"医药制造业,军工,大飞机",15.99,0.59,3.8312
000536.SZ,华映科技,"计算机、通信和其他电子设备制造业,3D玻璃,OLED,华为概念,标准普尔,深股通",2.52,-0.05,-1.9455
000537.SZ,广宇发展,"房地产业,中证500,国企改革,富时罗素,成渝特区,新能源,昨日涨停,标准普尔,深成500,深股通,滨海新区",12.5,1.14,10.0352
000538.SZ,云南白药,"医药制造业,HS300_,MSCI中国,QFII重仓,中药,健康中国,医疗器械,参股券商,口罩,国企改革,央视50_,富时罗素,工业大麻,标准普尔,深成500,深证100R,独家药品,股权激励,证金持股,超级品牌",96.01,1.21,1.2764
000539.SZ,粤电力A,"电力、热力生产和供应业,AB股,创投,北交所概念,参股保险,国企改革,太阳能,新能源,机构重仓,标准普尔,深成500,深股通,证金持股,风能",4.35,0.15,3.5714
000540.SZ,中天金融,"房地产业,中证500,互联金融,参股保险,参股券商,参股银行,富时罗素,小金属,标准普尔,深成500,碳交易",2.83,-0.14,-4.7138
000541.SZ,佛山照明,"电气机械和器材制造业,AB股,LED,华为概念,参股银行,新材料,智能家居,机构重仓,标准普尔,植物照明,网红直播,证金持股",5.99,-0.08,-1.318
000543.SZ,皖能电力,"电力、热力生产和供应业,IPO受益,养老金,参股券商,参股银行,天然气,富时罗素,抽水蓄能,新能源,标准普尔,核能核电,煤化工,碳交易,风能",4.17,0.08,1.956
000544.SZ,中原环保,"水的生产和供应业,PPP模式,参股银行,垃圾分类,太阳能,富时罗素,节能环保",6.48,0.05,0.7776
000545.SZ,金浦钛业,"化学原料和化学制品制造业,钛白粉",5.84,-0.12,-2.0134
000546.SZ,金圆股份,"生态保护和环境治理业,东北振兴,医废处理,富时罗素,标准普尔,节能环保,黄金概念",7.57,0.06,0.7989
000547.SZ,航天发展,"计算机、通信和其他电子设备制造业,5G概念,MSCI中国,中证500,军工,军民融合,北斗导航,国企改革,基金重仓,大数据,天基互联,富时罗素,标准普尔,氮化镓,海工装备,深成500,网络安全,虚拟现实,融资融券",14.77,-1.07,-6.755
000548.SZ,湖南投资,"道路运输业,0",3.9,-0.06,-1.5152
000550.SZ,江铃汽车,"汽车制造业,AB股,华为概念,华为汽车,国企改革,地摊经济,富时罗素,新能源车,无人驾驶,标准普尔,证金持股",18.2,-0.03,-0.1646
000551.SZ,创元科技,"综合,北交所概念,参股期货,参股银行,工业气体,新能源,氢能源,特斯拉,特高压,节能环保,长江三角",11.91,0,0
000552.SZ,靖远煤电,"煤炭开采和洗选业,标准普尔,转债标的",3.7,-0.11,-2.8871
000553.SZ,安道麦A,"化学原料和化学制品制造业,AB股,中证500,国企改革,富时罗素,机构重仓,标准普尔,深成500,深股通,草甘膦,蝗虫防治,送转预期",10.57,-0.12,-1.1225
000554.SZ,泰山石油,"批发业,内贸流通,国企改革,天然气,油价相关",5.03,-0.12,-2.3301
000555.SZ,神州信息,"软件和信息技术服务业,MSCI中国,云计算,互联金融,京东金融,人工智能,区块链,华为概念,国产软件,大数据,富时罗素,数字货币,智慧城市,机构重仓,标准普尔,深圳特区,深成500,独角兽,融资融券,边缘计算,量子通信",13.29,-0.15,-1.1161
000557.SZ,西部创业,"铁路运输业,机构重仓,预盈预增",3.95,-0.01,-0.2525
000558.SZ,莱茵体育,"房地产业,PPP模式,体育产业,创投,新能源,电子竞技,长江三角",3.03,-0.04,-1.3029
000559.SZ,万向钱潮,"汽车制造业,2025规划,MSCI中国,万达概念,中证500,富时罗素,工业互联,新材料,新能源车,标准普尔,深成500,长江三角",6.41,-0.21,-3.1722
000560.SZ,我爱我家,"房地产业,富时罗素,标准普尔,深成500,深股通,租售同权,融资融券",3.33,-0.03,-0.8929
000561.SZ,烽火电子,"计算机、通信和其他电子设备制造业,军工,军民融合,北斗导航,航天概念",7.75,0.1,1.3072
000563.SZ,陕国投A,"其他金融业,中证500,债转股,参股保险,参股券商,富时罗素,机构重仓,标准普尔,深成500,证金持股",3.35,-0.04,-1.1799
000564.SZ,*ST大集,"零售业,ST股,一带一路,免税概念,内贸流通,冷链物流,创投,北交所概念,富时罗素,抖音小店,新零售,标准普尔,电商概念,社区团购,网红直播",3.21,0.15,4.902
000565.SZ,渝三峡A,"化学原料和化学制品制造业,一带一路,成渝特区,石墨烯,融资融券",7.35,0.21,2.9412
000566.SZ,海南海药,"医药制造业,2025规划,CAR-T细胞疗法,互联医疗,健康中国,创投,医疗器械,单抗概念,参股银行,口罩,生物疫苗,预亏预减",4.69,-0.06,-1.2632
000567.SZ,海德股份,"其他金融业,互联金融,债转股,预盈预增",14.93,0.14,0.9466
000568.SZ,泸州老窖,"酒、饮料和精制茶制造业,HS300_,IPO受益,MSCI中国,农业种植,参股券商,基金重仓,富时罗素,成渝特区,标准普尔,深成500,深证100R,白酒,茅指数,证金持股,超级品牌",181.99,7.79,4.4719
000570.SZ,苏常柴A,"通用设备制造业,AB股,参股银行,国企改革,机构重仓,锂电池,长江三角",6.39,-0.09,-1.3889
000571.SZ,ST大洲,"综合,ST股,大飞机,新零售",2.21,-0.06,-2.6432
000572.SZ,海马汽车,"汽车制造业,充电桩,共享经济,参股银行,婴童概念,新能源车,无人驾驶,氢能源,车联网",7.36,0.24,3.3708
000573.SZ,粤宏远A,"房地产业,创投,壳资源",3.28,-0.04,-1.2048
000576.SZ,甘化科工,"专用设备制造业,军工,半导体,碳化硅,第三代半导体,预盈预增",13.67,-0.59,-4.1374
000581.SZ,威孚高科,"汽车制造业,AB股,MSCI中国,中证500,参股保险,参股券商,国产芯片,国企改革,富时罗素,尾气治理,新能源车,机构重仓,标准普尔,氢能源,汽车芯片,深成500,燃料电池,节能环保,长江三角",21.37,-0.26,-1.202
000582.SZ,北部湾港,"水上运输业,RCEP概念,一带一路,富时罗素,标准普尔,深成500,转债标的",8.24,-0.05,-0.6031
000584.SZ,哈工智能,"专用设备制造业,人工智能,军工,医疗器械,工业互联,成渝特区,新能源车,智能机器,机器视觉,特斯拉",5.96,-0.05,-0.8319
000585.SZ,*ST东电,"电气机械和器材制造业,AH股,ST股,东北振兴,壳资源,智能电网",1.77,0.02,1.1429
000586.SZ,汇源通信,"计算机、通信和其他电子设备制造业,成渝特区,智慧城市",8.99,0,0
000587.SZ,*ST金洲,"其他制造业,ST股,东北振兴,创投,昨日涨停,电商概念,黄金概念",1.59,0.08,5.298
000589.SZ,贵州轮胎,"橡胶和塑料制品业,参股银行,机构重仓,胎压监测,融资融券",5.67,-0.1,-1.7331
000590.SZ,启迪药业,"医药制造业,中药,机构重仓,雄安新区",8.65,-0.05,-0.5747
000591.SZ,太阳能,"电力、热力生产和供应业,国企改革,太阳能,富时罗素,成渝特区,新能源,昨日触板,智能电网,标准普尔,深成500,碳交易,融资融券",9.65,0.73,8.1839
